Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0603_1608Metric",59.303920,-67.482720,0.000000,bottom
"C2","22p","C_0603_1608Metric",59.298840,-69.453760,0.000000,bottom
"C3","0.1u","C_0603_1608Metric",50.305000,-70.104000,0.000000,bottom
"C4","1uF","C_0603_1608Metric",45.780960,-60.812680,0.000000,bottom
"C5","0.1u","C_0603_1608Metric",45.603160,-57.632600,180.000000,bottom
"C6","4.7u","C_0603_1608Metric",46.426120,-53.372720,90.000000,bottom
"CR1","0.1u","C_0603_1608Metric",48.840720,-40.472360,270.000000,bottom
"CR2","0.1u","C_0603_1608Metric",67.890720,-40.472360,270.000000,bottom
"CR3","0.1u","C_0603_1608Metric",86.940720,-40.472360,270.000000,bottom
"CR4","0.1u","C_0603_1608Metric",105.990720,-40.472360,270.000000,bottom
"CR5","0.1u","C_0603_1608Metric",48.840720,-64.285360,270.000000,bottom
"CR6","0.1u","C_0603_1608Metric",67.890720,-64.285360,270.000000,bottom
"CR7","0.1u","C_0603_1608Metric",86.940720,-64.285360,270.000000,bottom
"CR8","0.1u","C_0603_1608Metric",105.990720,-64.285360,270.000000,bottom
"CR9","0.1u","C_0603_1608Metric",48.840720,-83.335360,270.000000,bottom
"CR10","0.1u","C_0603_1608Metric",67.890720,-83.335360,270.000000,bottom
"CR11","0.1u","C_0603_1608Metric",86.940720,-83.335360,270.000000,bottom
"CR12","0.1u","C_0603_1608Metric",105.990720,-83.335360,270.000000,bottom
"CR13","0.1u","C_0603_1608Metric",48.840720,-102.385360,270.000000,bottom
"CR14","0.1u","C_0603_1608Metric",67.890720,-102.385360,270.000000,bottom
"CR15","0.1u","C_0603_1608Metric",86.940720,-102.385360,270.000000,bottom
"CR16","0.1u","C_0603_1608Metric",105.990720,-102.385360,270.000000,bottom
"CR17","0.1u","C_0603_1608Metric",48.840720,-121.435360,270.000000,bottom
"CR18","0.1u","C_0603_1608Metric",67.890720,-121.435360,270.000000,bottom
"CR19","0.1u","C_0603_1608Metric",86.940720,-121.435360,270.000000,bottom
"CR20","0.1u","C_0603_1608Metric",118.704360,-131.566920,0.000000,bottom
"CR21","0.1u","C_0603_1608Metric",48.840720,-140.485360,270.000000,bottom
"CR22","0.1u","C_0603_1608Metric",67.890720,-140.485360,270.000000,bottom
"CR23","0.1u","C_0603_1608Metric",86.940720,-140.485360,270.000000,bottom
"CR24","0.1u","C_0603_1608Metric",29.790720,-102.385360,270.000000,bottom
"CR25","0.1u","C_0603_1608Metric",29.790720,-121.435360,270.000000,bottom
"CR26","0.1u","C_0603_1608Metric",29.790720,-140.485360,270.000000,bottom
"CR27","0.1u","C_0603_1608Metric",29.790720,-83.335360,270.000000,bottom
"CR28","0.1u","C_0603_1608Metric",29.790720,-73.360600,270.000000,bottom
"CR29","0.1u","C_0603_1608Metric",29.790720,-64.310600,270.000000,bottom
"CR30","0.1u","C_0603_1608Metric",48.840720,-46.690280,270.000000,bottom
"CR31","0.1u","C_0603_1608Metric",67.890720,-46.690280,270.000000,bottom
"CR32","0.1u","C_0603_1608Metric",86.940720,-46.690280,270.000000,bottom
"CR33","0.1u","C_0603_1608Metric",105.990720,-46.690280,270.000000,bottom
"D1","1N4148W","D_SOD-123",62.529720,-39.535100,90.000000,bottom
"D2","1N4148W","D_SOD-123",81.579720,-39.535100,90.000000,bottom
"D3","1N4148W","D_SOD-123",100.629720,-39.535100,90.000000,bottom
"D4","1N4148W","D_SOD-123",119.679720,-39.535100,90.000000,bottom
"D5","1N4148W","D_SOD-123",62.529720,-63.348100,90.000000,bottom
"D6","1N4148W","D_SOD-123",81.579720,-63.348100,90.000000,bottom
"D7","1N4148W","D_SOD-123",100.629720,-63.348100,90.000000,bottom
"D8","1N4148W","D_SOD-123",119.679720,-63.348100,90.000000,bottom
"D9","1N4148W","D_SOD-123",62.529720,-82.398100,90.000000,bottom
"D10","1N4148W","D_SOD-123",81.579720,-82.398100,90.000000,bottom
"D11","1N4148W","D_SOD-123",100.629720,-82.398100,90.000000,bottom
"D12","1N4148W","D_SOD-123",119.679720,-82.398100,90.000000,bottom
"D13","1N4148W","D_SOD-123",62.529720,-101.448100,90.000000,bottom
"D14","1N4148W","D_SOD-123",81.579720,-101.448100,90.000000,bottom
"D15","1N4148W","D_SOD-123",100.629720,-101.448100,90.000000,bottom
"D16","1N4148W","D_SOD-123",119.679720,-101.448100,90.000000,bottom
"D17","1N4148W","D_SOD-123",62.529720,-120.498100,90.000000,bottom
"D18","1N4148W","D_SOD-123",81.579720,-120.498100,90.000000,bottom
"D19","1N4148W","D_SOD-123",100.629720,-120.498100,90.000000,bottom
"D20","1N4148W","D_SOD-123",117.650720,-118.618000,180.000000,bottom
"D21","1N4148W","D_SOD-123",62.529720,-139.548100,90.000000,bottom
"D22","1N4148W","D_SOD-123",81.579720,-139.548100,90.000000,bottom
"D23","1N4148W","D_SOD-123",100.629720,-139.548100,90.000000,bottom
"D24","1N4148W","D_SOD-123",43.479720,-101.448100,90.000000,bottom
"D25","1N4148W","D_SOD-123",43.479720,-120.498100,90.000000,bottom
"D26","1N4148W","D_SOD-123",43.479720,-139.548100,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",31.521400,-59.867800,90.000000,bottom
"G***","LOGO","contender_logo",99.949000,-68.707000,180.000000,bottom
"R1","10k","R_0805_2012Metric",39.446200,-69.799200,90.000000,bottom
"R2","5.1k","R_0805_2012Metric",40.729780,-55.285640,270.000000,bottom
"R3","5.1k","R_0805_2012Metric",33.086040,-55.285640,270.000000,bottom
"R4","22","R_0805_2012Metric",35.112960,-59.235980,90.000000,bottom
"R5","22","R_0805_2012Metric",38.608000,-59.235980,270.000000,bottom
"R6","10k","R_0805_2012Metric",43.505120,-78.343760,0.000000,bottom
"SW1","SW_Push","SKQG-1155865",33.939480,-68.859400,180.000000,bottom
"U1","ATmega32U2-MU","QFN-32-1EP_5x5mm_Pitch0.5mm",45.755560,-69.016880,180.000000,bottom
"U2","PRTR5V0U2X","SOT143B",36.875720,-55.340760,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",36.875720,-42.423080,0.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",54.254400,-68.493640,270.000000,bottom
"MX1","MX-1U","MXOnly-1U-Hotswap",55.925720,-34.772600,0.000000,top
"MX2","MX-1U","MXOnly-1U-Hotswap",74.975720,-34.772600,0.000000,top
"MX3","MX-1U","MXOnly-1U-Hotswap",94.025720,-34.772600,0.000000,top
"MX4","MX-1U","MXOnly-1U-Hotswap",113.075720,-34.772600,0.000000,top
"MX5","MX-1U","MXOnly-1U-Hotswap",55.925720,-58.585600,0.000000,top
"MX6","MX-1U","MXOnly-1U-Hotswap",74.975720,-58.585600,0.000000,top
"MX7","MX-1U","MXOnly-1U-Hotswap",94.025720,-58.585600,0.000000,top
"MX8","MX-1U","MXOnly-1U-Hotswap",113.075720,-58.585600,0.000000,top
"MX9","MX-1U","MXOnly-1U-Hotswap",55.925720,-77.635600,0.000000,top
"MX10","MX-1U","MXOnly-1U-Hotswap",74.975720,-77.635600,0.000000,top
"MX11","MX-1U","MXOnly-1U-Hotswap",94.025720,-77.635600,0.000000,top
"MX12","MX-1U","MXOnly-1U-Hotswap",113.075720,-77.635600,0.000000,top
"MX13","MX-1U","MXOnly-1U-Hotswap",55.925720,-96.685600,0.000000,top
"MX14","MX-1U","MXOnly-1U-Hotswap",74.975720,-96.685600,0.000000,top
"MX15","MX-1U","MXOnly-1U-Hotswap",94.025720,-96.685600,0.000000,top
"MX16","MX-1U","MXOnly-1U-Hotswap",113.075720,-96.685600,0.000000,top
"MX17","MX-1U","MXOnly-1U-Hotswap",55.925720,-115.735600,0.000000,top
"MX18","MX-1U","MXOnly-1U-Hotswap",74.975720,-115.735600,0.000000,top
"MX19","MX-1U","MXOnly-1U-Hotswap",94.025720,-115.735600,0.000000,top
"MX20","MX-2U","MXOnly-2U-Hotswap-ReversedStabilizers",113.075720,-125.260600,90.000000,top
"MX21","MX-1U","MXOnly-1U-Hotswap",55.925720,-134.785600,0.000000,top
"MX22","MX-1U","MXOnly-1U-Hotswap",74.975720,-134.785600,0.000000,top
"MX23","MX-1U","MXOnly-1U-Hotswap",94.025720,-134.785600,0.000000,top
"MX24","MX-1U","MXOnly-1U-Hotswap",36.875720,-96.685600,0.000000,top
"MX25","MX-1U","MXOnly-1U-Hotswap",36.875720,-115.735600,0.000000,top
"MX26","MX-1U","MXOnly-1U-Hotswap",36.875720,-134.785600,0.000000,top
